timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/02/05 03:33:46.320, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:47.329, NVIDIA Thor, 87 %, [N/A], [N/A], 36
2026/02/05 03:33:48.334, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:49.336, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:50.338, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:51.343, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:52.347, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:53.352, NVIDIA Thor, 16 %, [N/A], [N/A], 37
2026/02/05 03:33:54.354, NVIDIA Thor, 0 %, [N/A], [N/A], 36
2026/02/05 03:33:55.355, NVIDIA Thor, 8 %, [N/A], [N/A], 37
2026/02/05 03:33:56.357, NVIDIA Thor, 97 %, [N/A], [N/A], 39
2026/02/05 03:33:57.362, NVIDIA Thor, 96 %, [N/A], [N/A], 39
2026/02/05 03:33:58.364, NVIDIA Thor, 9 %, [N/A], [N/A], 39
2026/02/05 03:33:59.366, NVIDIA Thor, 1 %, [N/A], [N/A], 38
2026/02/05 03:34:00.367, NVIDIA Thor, 0 %, [N/A], [N/A], 38
2026/02/05 03:34:01.371, NVIDIA Thor, 5 %, [N/A], [N/A], 38
2026/02/05 03:34:02.373, NVIDIA Thor, 1 %, [N/A], [N/A], 38
2026/02/05 03:34:03.374, NVIDIA Thor, 3 %, [N/A], [N/A], 39
2026/02/05 03:34:04.376, NVIDIA Thor, 11 %, [N/A], [N/A], 39
2026/02/05 03:34:05.388, NVIDIA Thor, 97 %, [N/A], [N/A], 40
2026/02/05 03:34:06.392, NVIDIA Thor, 2 %, [N/A], [N/A], 39
2026/02/05 03:34:07.393, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 03:34:08.395, NVIDIA Thor, 97 %, [N/A], [N/A], 40
2026/02/05 03:34:09.399, NVIDIA Thor, 10 %, [N/A], [N/A], 40
2026/02/05 03:34:10.400, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 03:34:11.403, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 03:34:12.406, NVIDIA Thor, 7 %, [N/A], [N/A], 40
2026/02/05 03:34:13.407, NVIDIA Thor, 0 %, [N/A], [N/A], 39
2026/02/05 03:34:14.408, NVIDIA Thor, 97 %, [N/A], [N/A], 41
2026/02/05 03:34:15.413, NVIDIA Thor, 28 %, [N/A], [N/A], 41
2026/02/05 03:34:16.414, NVIDIA Thor, 98 %, [N/A], [N/A], 41
2026/02/05 03:34:17.417, NVIDIA Thor, 26 %, [N/A], [N/A], 41
2026/02/05 03:34:18.418, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 03:34:19.419, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 03:34:20.421, NVIDIA Thor, 97 %, [N/A], [N/A], 42
2026/02/05 03:34:21.427, NVIDIA Thor, 51 %, [N/A], [N/A], 41
2026/02/05 03:34:22.431, NVIDIA Thor, 92 %, [N/A], [N/A], 42
2026/02/05 03:34:23.433, NVIDIA Thor, 71 %, [N/A], [N/A], 41
2026/02/05 03:34:24.435, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 03:34:25.443, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 03:34:26.447, NVIDIA Thor, 23 %, [N/A], [N/A], 41
2026/02/05 03:34:27.448, NVIDIA Thor, 0 %, [N/A], [N/A], 41
2026/02/05 03:34:28.450, NVIDIA Thor, 1 %, [N/A], [N/A], 40
2026/02/05 03:34:29.452, NVIDIA Thor, 2 %, [N/A], [N/A], 40
2026/02/05 03:34:30.453, NVIDIA Thor, 30 %, [N/A], [N/A], 40
2026/02/05 03:34:31.455, NVIDIA Thor, 0 %, [N/A], [N/A], 40
2026/02/05 03:34:32.457, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 03:34:33.459, NVIDIA Thor, 1 %, [N/A], [N/A], 41
2026/02/05 03:34:34.461, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 03:34:35.467, NVIDIA Thor, 3 %, [N/A], [N/A], 41
2026/02/05 03:34:36.469, NVIDIA Thor, 3 %, [N/A], [N/A], 41
2026/02/05 03:34:37.471, NVIDIA Thor, 98 %, [N/A], [N/A], 42
2026/02/05 03:34:38.474, NVIDIA Thor, 0 %, [N/A], [N/A], 41
2026/02/05 03:34:39.476, NVIDIA Thor, 18 %, [N/A], [N/A], 42
2026/02/05 03:34:40.477, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 03:34:41.483, NVIDIA Thor, 11 %, [N/A], [N/A], 41
2026/02/05 03:34:42.485, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 03:34:43.487, NVIDIA Thor, 13 %, [N/A], [N/A], 41
2026/02/05 03:34:44.489, NVIDIA Thor, 25 %, [N/A], [N/A], 41
2026/02/05 03:34:45.494, NVIDIA Thor, 12 %, [N/A], [N/A], 42
2026/02/05 03:34:46.495, NVIDIA Thor, 82 %, [N/A], [N/A], 42
2026/02/05 03:34:47.499, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 03:34:48.502, NVIDIA Thor, 0 %, [N/A], [N/A], 42
2026/02/05 03:34:49.504, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 03:34:50.506, NVIDIA Thor, 9 %, [N/A], [N/A], 42
2026/02/05 03:34:51.507, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 03:34:52.513, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 03:34:53.514, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 03:34:54.516, NVIDIA Thor, 86 %, [N/A], [N/A], 42
2026/02/05 03:34:55.518, NVIDIA Thor, 7 %, [N/A], [N/A], 42
2026/02/05 03:34:56.520, NVIDIA Thor, 96 %, [N/A], [N/A], 43
2026/02/05 03:34:57.524, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 03:34:58.526, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 03:34:59.529, NVIDIA Thor, 8 %, [N/A], [N/A], 42
2026/02/05 03:35:00.530, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 03:35:01.534, NVIDIA Thor, 98 %, [N/A], [N/A], 43
2026/02/05 03:35:02.537, NVIDIA Thor, 5 %, [N/A], [N/A], 42
2026/02/05 03:35:03.538, NVIDIA Thor, 84 %, [N/A], [N/A], 43
2026/02/05 03:35:04.542, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 03:35:05.545, NVIDIA Thor, 97 %, [N/A], [N/A], 43
2026/02/05 03:35:06.551, NVIDIA Thor, 94 %, [N/A], [N/A], 44
2026/02/05 03:35:07.552, NVIDIA Thor, 10 %, [N/A], [N/A], 43
2026/02/05 03:35:08.554, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 03:35:09.555, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:10.559, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:11.561, NVIDIA Thor, 2 %, [N/A], [N/A], 43
2026/02/05 03:35:12.562, NVIDIA Thor, 36 %, [N/A], [N/A], 42
2026/02/05 03:35:13.564, NVIDIA Thor, 5 %, [N/A], [N/A], 42
2026/02/05 03:35:14.565, NVIDIA Thor, 2 %, [N/A], [N/A], 42
2026/02/05 03:35:15.567, NVIDIA Thor, 0 %, [N/A], [N/A], 42
2026/02/05 03:35:16.569, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:17.572, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:18.575, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:19.578, NVIDIA Thor, 97 %, [N/A], [N/A], 44
2026/02/05 03:35:20.582, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:21.586, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:22.588, NVIDIA Thor, 1 %, [N/A], [N/A], 43
2026/02/05 03:35:23.589, NVIDIA Thor, 3 %, [N/A], [N/A], 43
2026/02/05 03:35:24.591, NVIDIA Thor, 14 %, [N/A], [N/A], 43
2026/02/05 03:35:25.597, NVIDIA Thor, 93 %, [N/A], [N/A], 43
2026/02/05 03:35:26.599, NVIDIA Thor, 14 %, [N/A], [N/A], 43
2026/02/05 03:35:27.601, NVIDIA Thor, 2 %, [N/A], [N/A], 43
2026/02/05 03:35:28.602, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:29.607, NVIDIA Thor, 26 %, [N/A], [N/A], 44
2026/02/05 03:35:30.608, NVIDIA Thor, 12 %, [N/A], [N/A], 43
2026/02/05 03:35:31.610, NVIDIA Thor, 2 %, [N/A], [N/A], 43
2026/02/05 03:35:32.611, NVIDIA Thor, 3 %, [N/A], [N/A], 43
2026/02/05 03:35:33.613, NVIDIA Thor, 8 %, [N/A], [N/A], 43
2026/02/05 03:35:34.614, NVIDIA Thor, 3 %, [N/A], [N/A], 43
2026/02/05 03:35:35.616, NVIDIA Thor, 1 %, [N/A], [N/A], 42
2026/02/05 03:35:36.617, NVIDIA Thor, 2 %, [N/A], [N/A], 43
2026/02/05 03:35:37.618, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:35:38.620, NVIDIA Thor, 4 %, [N/A], [N/A], 43
2026/02/05 03:35:39.622, NVIDIA Thor, 92 %, [N/A], [N/A], 44
2026/02/05 03:35:40.627, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:41.631, NVIDIA Thor, 83 %, [N/A], [N/A], 44
2026/02/05 03:35:42.633, NVIDIA Thor, 1 %, [N/A], [N/A], 43
2026/02/05 03:35:43.634, NVIDIA Thor, 6 %, [N/A], [N/A], 43
2026/02/05 03:35:44.636, NVIDIA Thor, 98 %, [N/A], [N/A], 44
2026/02/05 03:35:45.640, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:35:46.642, NVIDIA Thor, 1 %, [N/A], [N/A], 43
2026/02/05 03:35:47.643, NVIDIA Thor, 71 %, [N/A], [N/A], 44
2026/02/05 03:35:48.646, NVIDIA Thor, 98 %, [N/A], [N/A], 45
2026/02/05 03:35:49.654, NVIDIA Thor, 0 %, [N/A], [N/A], 43
2026/02/05 03:35:50.660, NVIDIA Thor, 5 %, [N/A], [N/A], 43
